cover_average-length,cover_brief,cover_concise,cover_extensive,cover_long,cover_medium-length,cover_moderate-length,cover_short,cover_verbose,email_average-length,email_brief,email_concise,email_extensive,email_long,email_medium-length,email_moderate-length,email_short,email_verbose,essay_average-length,essay_brief,essay_concise,essay_extensive,essay_long,essay_medium-length,essay_moderate-length,essay_short,essay_verbose,explanation_average-length,explanation_brief,explanation_concise,explanation_extensive,explanation_long,explanation_medium-length,explanation_moderate-length,explanation_short,explanation_verbose,social_average-length,social_brief,social_concise,social_extensive,social_long,social_medium-length,social_moderate-length,social_short,social_verbose
1545,1088,968,2104,1782,1746,1183,899,1698,1375,1063,894,1581,1476,1168,1709,774,1780,2281,2017,1977,3446,3594,2742,2188,1672,2798,1598,1122,830,1838,2292,1522,2285,1112,2422,596,411,343,1373,1060,902,976,569,1451
1396,1253,952,2050,2335,1613,1202,1106,1606,1097,948,716,1478,1487,1408,1219,1067,1506,2473,1917,2539,2723,2563,2394,2724,2344,2536,1273,1755,901,2690,1922,1541,2258,890,2213,894,465,430,1226,1593,778,958,778,1227
1540,877,847,2065,2424,1363,1600,1076,1774,1202,894,654,1538,1670,1618,1299,904,1167,2739,2367,1842,2667,2609,2078,2483,2053,2493,1345,1721,1180,1755,2233,1779,1881,1614,2672,583,509,553,1246,1409,979,932,526,1805
1569,1165,931,1609,2025,1409,1054,930,1787,1208,1039,941,1230,1682,1360,1397,1014,1538,2745,1940,1997,2396,3252,2202,2200,2107,2837,1261,1027,1017,3218,2170,1422,1633,941,1871,637,488,474,1141,1498,856,661,511,1591
1694,1048,904,1792,2062,1436,1414,1120,1657,1148,867,1187,1960,1738,1489,1457,1136,1448,2942,2714,2241,2907,2804,2748,2681,1916,3256,2118,950,1045,2610,2109,1501,1915,966,2100,780,527,493,1779,1521,799,971,595,1537
1444,1130,953,1531,2074,1376,1431,1247,1697,925,1081,853,1345,1153,1197,1115,824,2058,3101,2216,2275,2760,3134,2881,2379,1561,3189,1461,838,1278,2339,2338,1803,1660,842,2369,913,654,608,1197,1485,973,948,458,1324
1750,1338,1381,1650,1740,1831,1593,1081,1982,1161,713,931,1560,1615,1246,1164,895,1639,2389,1767,1824,3313,3336,2772,2852,1940,2757,1492,930,1259,2437,2332,1858,1617,972,1521,738,708,504,1118,1135,803,945,567,1097
1536,1033,948,1701,2298,1397,1795,1239,1630,1136,729,863,1330,1530,905,943,950,1772,2787,2080,1894,2615,3282,2072,2525,1920,3149,1649,1201,993,2085,2377,1451,2227,1133,2670,802,609,441,1163,1444,1246,910,561,1298
1326,857,961,1718,2067,1288,1505,1047,1853,1462,858,951,1758,1558,1147,1138,865,1458,2520,1991,2020,2871,2789,2937,2398,1718,3056,978,986,880,3179,2823,1543,1666,1465,1884,745,691,478,1289,1379,891,819,458,1183
1756,1024,1160,1674,1795,1786,1500,945,2006,1020,956,903,1200,1583,1048,1383,770,1360,2376,2217,1846,2723,3437,2266,2450,2044,2576,1541,1099,874,2503,1997,1474,1300,1214,1631,741,570,448,1676,1305,1043,745,978,919
1754,976,751,1901,2279,1775,1433,918,2041,1422,800,1175,1829,1818,1232,1314,780,1205,2241,1954,1965,3048,3113,2488,3629,2569,2588,969,1385,905,2026,2102,2580,2091,1258,2623,931,502,499,1045,1153,898,1269,561,1406
1411,1203,1289,2109,1670,1626,1328,1444,1796,1218,809,780,1513,1553,1210,1154,935,1446,2586,1638,1974,2574,3689,2287,2636,2011,2572,1075,961,1070,2047,2152,985,1485,1288,1795,698,556,472,1180,1340,938,901,622,1709
1221,891,1028,1683,1859,1243,1750,1045,1916,1134,827,748,1738,1673,1264,1180,702,1528,2508,2576,1941,3165,2680,2621,2539,1944,2325,1189,1066,985,1827,2526,1844,1218,1012,2799,562,537,393,1158,1070,1303,804,493,1316
1412,1044,1091,1541,2175,1456,1516,905,2069,1127,958,682,1489,1535,1363,1506,986,1103,2948,1935,1892,3549,2951,2511,2867,2553,3162,1148,854,1330,2470,2548,1573,1570,1184,2745,853,636,431,1405,1523,968,1152,489,1207
1530,1151,1101,1605,1855,1285,1402,1233,1774,1393,1009,982,1567,1419,1335,1127,876,1547,2686,1715,1996,2920,3732,2630,2851,1823,3034,1324,890,873,1901,2219,1408,1378,990,1743,1103,585,428,1165,1231,801,978,415,1429
1069,850,861,1441,1937,1477,1673,794,1649,1002,647,804,1536,1455,1408,1292,917,1185,2474,1994,1964,2465,2296,2455,2781,1946,2994,1417,873,966,2203,2342,1396,2385,2820,1728,470,476,442,1396,1454,681,975,633,1298
1531,1077,1206,1828,1869,1512,1644,908,2362,1207,553,838,1566,1353,1311,960,983,1531,2632,2219,1834,2851,3111,2779,2719,1993,3191,1292,1005,831,1891,2411,1334,1459,1551,1965,727,592,506,1673,1240,785,802,477,1504
